시도명,시군구명,읍면동명,인구사회 부문,산업경제 부문,물리환경 부문,과거대비인구변화(%),최근인구변화(연속감소년수),과거대비사업체변화(%),최근사업체변화(연속감소년수),노후건축물비율(%),부합부문(개수),2개 부문 이상 부합여부
서울특별시,서울특별시 은평구,갈현제1동,O,X,O,-8.39,4.00,-3.81,2.00,78.95,2,O
서울특별시,서울특별시 은평구,갈현제2동,X,X,O,9.00,0.00,1.55,1.00,61.92,1,X
서울특별시,서울특별시 은평구,구산동,X,X,O,2.87,2.00,2.33,1.00,62.01,1,X
서울특별시,서울특별시 은평구,대조동,X,X,O,-1.77,0.00,-0.63,2.00,73.88,1,X
서울특별시,서울특별시 은평구,응암제1동,X,X,O,3.32,1.00,9.09,1.00,72.17,1,X
서울특별시,서울특별시 은평구,응암제2동,O,O,O,-14.62,3.00,-22.15,1.00,82.44,3,O
서울특별시,서울특별시 은평구,신사제1동,X,X,O,3.20,1.00,0.62,2.00,57.56,1,X
서울특별시,서울특별시 은평구,신사제2동,O,O,O,-15.40,4.00,-5.10,2.00,81.91,3,O
서울특별시,서울특별시 은평구,증산동,O,X,O,-38.99,5.00,1.92,1.00,82.59,2,O
서울특별시,서울특별시 은평구,수색동,O,O,O,-38.44,5.00,-19.73,2.00,85.56,3,O
서울특별시,서울특별시 은평구,진관동,X,O,X,40.61,0.00,-25.77,0.00,16.18,1,X
서울특별시,서울특별시 은평구,불광제2동,O,X,O,-3.82,4.00,-3.51,2.00,78.76,2,O
서울특별시,서울특별시 은평구,응암제3동,O,X,O,-36.29,5.00,-2.89,1.00,80.92,2,O
서울특별시,서울특별시 은평구,역촌동,X,X,O,8.26,1.00,1.38,0.00,61.64,1,X
서울특별시,서울특별시 서대문구,천연동,O,X,O,-5.81,5.00,4.99,0.00,74.20,2,O
서울특별시,서울특별시 서대문구,홍제제1동,O,X,O,-11.65,4.00,1.04,0.00,78.26,2,O
서울특별시,서울특별시 서대문구,홍제제3동,O,X,O,-24.19,5.00,-3.57,1.00,84.91,2,O
서울특별시,서울특별시 서대문구,홍제제2동,O,X,O,-15.90,5.00,-3.81,1.00,74.75,2,O
서울특별시,서울특별시 서대문구,홍은제1동,O,O,O,-7.83,5.00,-25.88,3.00,85.86,3,O
서울특별시,서울특별시 서대문구,홍은제2동,X,X,O,0.61,1.00,-0.55,1.00,72.39,1,X
서울특별시,서울특별시 서대문구,남가좌제1동,O,O,O,-86.79,3.00,-60.69,5.00,86.94,3,O
서울특별시,서울특별시 서대문구,남가좌제2동,O,O,O,-15.46,5.00,-5.14,1.00,80.19,3,O
서울특별시,서울특별시 서대문구,북가좌제1동,X,O,O,-13.33,1.00,-35.71,0.00,66.89,2,O
서울특별시,서울특별시 서대문구,북가좌제2동,X,X,O,-1.73,2.00,-1.57,1.00,66.84,1,X
서울특별시,서울특별시 서대문구,충현동,O,X,O,-21.49,5.00,7.26,1.00,82.18,2,O
서울특별시,서울특별시 서대문구,북아현동,O,O,O,-35.03,3.00,-42.83,2.00,86.19,3,O
서울특별시,서울특별시 서대문구,신촌동,X,X,O,22.21,1.00,0.74,1.00,73.78,1,X
서울특별시,서울특별시 서대문구,연희동,O,X,O,-7.90,5.00,2.87,0.00,76.17,2,O
서울특별시,서울특별시 마포구,용강동,X,X,O,2.16,2.00,7.69,0.00,61.42,1,X
서울특별시,서울특별시 마포구,대흥동,O,X,O,-30.66,2.00,4.33,0.00,85.14,2,O
서울특별시,서울특별시 마포구,염리동,O,X,O,-56.12,3.00,-1.26,1.00,89.94,2,O
서울특별시,서울특별시 마포구,신수동,O,X,O,-10.48,4.00,7.87,1.00,68.85,2,O
서울특별시,서울특별시 마포구,서교동,O,X,O,-6.63,3.00,9.14,0.00,64.52,2,O
서울특별시,서울특별시 마포구,합정동,O,X,O,-19.40,3.00,8.53,1.00,69.01,2,O
서울특별시,서울특별시 마포구,망원제1동,O,X,O,-19.98,5.00,0.59,1.00,72.37,2,O
서울특별시,서울특별시 마포구,망원제2동,O,X,O,-10.48,5.00,12.65,0.00,64.66,2,O
서울특별시,서울특별시 마포구,연남동,O,X,O,-9.72,5.00,7.95,0.00,69.69,2,O
서울특별시,서울특별시 마포구,성산제1동,O,X,O,2.07,3.00,-3.06,1.00,63.40,2,O
서울특별시,서울특별시 마포구,성산제2동,O,X,O,-8.79,5.00,5.08,0.00,69.83,2,O
서울특별시,서울특별시 마포구,상암동,X,X,X,22.14,2.00,16.85,0.00,24.06,0,X
서울특별시,서울특별시 마포구,도화동,O,X,O,-1.76,3.00,5.12,1.00,69.99,2,O
서울특별시,서울특별시 마포구,서강동,X,X,O,-0.14,2.00,17.00,0.00,60.01,1,X
서울특별시,서울특별시 마포구,공덕동,X,X,O,10.60,1.00,2.03,0.00,75.93,1,X
서울특별시,서울특별시 마포구,아현동,X,O,O,63.91,2.00,-7.08,1.00,73.22,2,O
서울특별시,서울특별시 양천구,목1동,O,X,O,-0.62,3.00,11.83,0.00,64.46,2,O
서울특별시,서울특별시 양천구,목2동,X,O,O,-5.39,2.00,-4.15,3.00,55.26,2,O
서울특별시,서울특별시 양천구,목3동,O,X,O,-3.86,5.00,-0.63,1.00,63.09,2,O
서울특별시,서울특별시 양천구,목4동,O,X,O,-4.76,5.00,-2.86,2.00,62.21,2,O
서울특별시,서울특별시 양천구,신월1동,O,X,O,-17.00,5.00,-0.86,1.00,79.64,2,O
서울특별시,서울특별시 양천구,신월2동,O,O,O,-31.97,0.00,-5.03,1.00,69.21,3,O
서울특별시,서울특별시 양천구,신월3동,O,O,O,-29.96,3.00,-7.25,2.00,85.39,3,O
서울특별시,서울특별시 양천구,신월4동,O,X,O,-25.55,1.00,0.25,1.00,52.44,2,O
서울특별시,서울특별시 양천구,신월5동,X,O,O,-17.44,1.00,-5.11,1.00,70.06,2,O
서울특별시,서울특별시 양천구,신월6동,O,O,O,-47.23,5.00,-20.91,4.00,91.19,3,O
서울특별시,서울특별시 양천구,신월7동,O,O,O,-29.36,5.00,-7.56,1.00,91.49,3,O
서울특별시,서울특별시 양천구,신정1동,O,O,O,-37.85,4.00,-15.25,3.00,80.74,3,O
서울특별시,서울특별시 양천구,신정2동,O,X,O,-37.61,5.00,-3.64,2.00,70.12,2,O
서울특별시,서울특별시 양천구,신정3동,O,X,O,12.77,4.00,2.60,0.00,70.58,2,O
서울특별시,서울특별시 양천구,신정6동,O,X,O,-11.52,5.00,1.08,0.00,83.74,2,O
서울특별시,서울특별시 양천구,신정7동,O,X,O,-8.08,5.00,-1.11,1.00,51.71,2,O
서울특별시,서울특별시 양천구,목5동,O,X,O,-3.88,5.00,1.72,1.00,82.37,2,O
서울특별시,서울특별시 양천구,신정4동,O,X,O,-0.50,3.00,-3.45,2.00,59.84,2,O
서울특별시,서울특별시 강서구,염창동,O,X,O,-0.63,4.00,1.10,1.00,50.37,2,O
서울특별시,서울특별시 강서구,등촌제1동,O,X,O,-50.71,2.00,7.34,1.00,57.14,2,O
서울특별시,서울특별시 강서구,등촌제2동,O,X,O,-8.81,4.00,1.89,1.00,57.30,2,O
서울특별시,서울특별시 강서구,등촌제3동,O,X,O,-13.49,5.00,7.38,1.00,54.52,2,O
서울특별시,서울특별시 강서구,화곡본동,X,X,O,-9.78,2.00,-1.51,1.00,50.72,1,X
서울특별시,서울특별시 강서구,화곡제2동,O,X,O,-49.29,4.00,-4.63,2.00,60.73,2,O
서울특별시,서울특별시 강서구,화곡제3동,O,X,O,-8.19,5.00,-1.55,2.00,53.95,2,O
서울특별시,서울특별시 강서구,화곡제4동,X,O,O,-9.09,1.00,-6.09,2.00,65.49,2,O
서울특별시,서울특별시 강서구,화곡제6동,X,X,O,2.41,2.00,-0.83,1.00,62.15,1,X
