,시군구명,읍면동명,과거대비인구변화...,최근인구변화.연속감소년수.,과거대비사업체변화...,최근사업체변화.연속감소년수.,노후건축물비율...,부합부문.개수.,X2개.부문.이상.부합여부
265,서울특별시 구로구,구로제5동,-5.16,2,1.25,0,75.72,1,0
266,서울특별시 구로구,고척제1동,-11.06,2,-1,1,73.77,1,0
267,서울특별시 구로구,고척제2동,-18.08,5,-10.16,2,80.68,3,1
268,서울특별시 구로구,개봉제2동,-3.11,3,-2.03,1,55.38,2,1
269,서울특별시 구로구,개봉제3동,-12.36,2,-2.66,2,66.11,1,0
270,서울특별시 구로구,오류제1동,-40.86,1,0.31,1,70.21,2,1
271,서울특별시 구로구,오류제2동,32.85,1,11.94,0,67.19,1,0
272,서울특별시 구로구,수궁동,3.87,2,9.88,1,57.23,1,0
273,서울특별시 구로구,가리봉동,-19.47,5,-1.81,1,85.98,2,1
274,서울특별시 구로구,구로제2동,-11.93,5,0.7,1,78.22,2,1
275,서울특별시 구로구,개봉제1동,-6.41,2,-0.83,1,80.63,1,0
276,서울특별시 금천구,가산동,-16.4,2,6.3,0,65.85,1,0
277,서울특별시 금천구,독산제1동,-8.62,3,13.22,1,68.83,2,1
278,서울특별시 금천구,독산제2동,-37.49,5,-8.94,2,80.02,3,1
279,서울특별시 금천구,독산제3동,-6.57,5,-2.12,2,76.6,2,1
280,서울특별시 금천구,독산제4동,-35.21,5,-2.7,1,76.33,2,1
281,서울특별시 금천구,시흥제1동,17.6,2,-3.91,2,79.24,1,0
282,서울특별시 금천구,시흥제2동,-10.8,5,-5.61,2,47.08,2,1
283,서울특별시 금천구,시흥제3동,-37.07,3,2.51,1,68.65,2,1
284,서울특별시 금천구,시흥제4동,-37.12,5,-3.86,1,78.32,2,1
285,서울특별시 금천구,시흥제5동,-32.48,5,-9.16,2,86.89,3,1
286,서울특별시 영등포구,여의동,-14.26,3,11.78,0,78.02,2,1
287,서울특별시 영등포구,당산제1동,-16.63,2,4.23,1,82.03,1,0
288,서울특별시 영등포구,당산제2동,5.03,1,3.65,1,61.25,1,0
289,서울특별시 영등포구,양평제1동,0.8,2,8.75,1,82.36,1,0
290,서울특별시 영등포구,양평제2동,0.81,3,5.41,0,63.62,2,1
291,서울특별시 영등포구,신길제1동,-33.83,5,-8.38,2,82.74,3,1
292,서울특별시 영등포구,신길제3동,-46.62,4,-27.44,4,86.63,3,1
293,서울특별시 영등포구,신길제4동,-49.21,5,-27.07,3,84.78,3,1
294,서울특별시 영등포구,신길제5동,-48.96,5,-3.8,1,88.19,2,1
295,서울특별시 영등포구,신길제6동,-44.56,5,0.72,2,81.25,2,1
296,서울특별시 영등포구,신길제7동,-29.15,2,-14.1,2,81.22,3,1
